X,Y,OBJECTID,name,coordinate,total_slot,operative,id
24.950390999744911,60.155410999917763,1,Kaivopuisto,"60.155411,24.950391",31,Yes,001
24.955211999933908,60.159714999647576,2,Laivasillankatu,"60.159715,24.955212",12,Yes,002
24.944808000388946,60.158172000437503,3,Kapteeninpuistikko,"60.158172,24.944808",17,Yes,003
24.941859000192778,60.160943999665903,4,Viiskulma,"60.160944,24.941859",14,Yes,004
24.936083000030465,60.157935000300085,5,Sepänkatu,"60.157935,24.936083",32,Yes,005
24.929541999663627,60.162287000444792,6,Hietalahdentori,"60.162287,24.929542",24,Yes,006
24.945894000108069,60.163084000326421,7,Designmuseo,"60.163084,24.945894",14,Yes,007
24.939186000133873,60.16531099960298,8,Vanha,"60.165311, 24.939186",21,Yes,008
24.949496999886662,60.165017999581096,9,Kasarmitori,"60.165018,24.949497",30,Yes,010
24.95100400013456,60.16756199998639,10,Unioninkatu,"60.167562,24.951004",22,Yes,011
24.958478000359491,60.16848800042095,11,Kanavaranta,"60.168488,24.958478",27,Yes,012
24.975561000339951,60.167890999869826,12,Merisotilaantori,"60.167891,24.975561",12,Yes,013
24.952527000220925,60.169106000141824,13,Senaatintori,"60.169106,24.952527",23,Yes,014
24.955571000301461,60.171024999604128,14,Ritarikatu,"60.171025, 24.955571",12,Yes,015
24.961480000301833,60.174175000076275,15,Liisanpuistikko,"60.174175,24.961480",16,Yes,016
24.949636000001476,60.173098999918977,16,Varsapuistikko,"60.173099,24.949636",29,Yes,017
24.948152999961053,60.169873000438656,17,Porthania,"60.169873, 24.948153",22,Yes,018
24.942522000190195,60.170759999974052,18,Rautatientori,"60.170760,24.942522",20,Yes,019
24.942919999658329,60.172957999711969,19,Kaisaniemenpuisto,"60.172958,24.942920",23,Yes,020
24.939130000249349,60.172910000196396,20,Töölönlahdenkatu,"60.172910,24.939130",44,Yes,021
24.939671000016688,60.170599999790227,21,Rautatientori,"60.170600,24.939671",17,Yes,022
24.937401999702558,60.1714130004097,22,Kiasma,"60.171413,24.937402",33,Yes,023
24.939428999648669,60.169045000026813,23,Mannerheimintie,"60.169045,24.939429",21,Yes,024
24.935258999803068,60.170014999792443,24,Narinkka,"60.170015,24.935259",41,Yes,025
24.930435000375041,60.168644000420329,25,Kampin,"60.168644,24.930435",33,Yes,026
24.935913000284813,60.16739000014843,26,Eerikinkatu,"60.167390,24.935913",14,Yes,027
24.927049999857672,60.165754000246977,27,Lastenlehto,"60.165754,24.927050",16,Yes,028
24.922582999805627,60.164159000437564,28,Baana,"60.164159,24.922583",20,Yes,029
24.914764999904889,60.163535000439992,29,Itämerentori,"60.163535,24.914765",41,Yes,030
24.922770000335277,60.168334999660544,30,Marian,"60.168335,24.922770",17,Yes,031
24.931874000185019,60.171346000017934,31,Eläinmuseo,"60.171346,24.931874",21,Yes,032
24.925059999819211,60.171155000203157,32,Kauppakorkeakoulu,"60.171155,24.925060",17,Yes,033
24.932878999766103,60.173944000215499,33,Kansallismuseo,"60.173944,24.932879",16,Yes,034
24.928227580238683,60.174063715268289,34,Cygnauksenkatu,"60.174063715, 24.92822758053",17,Yes,035
24.922502999713743,60.176075999607747,35,Apollonkatu,"60.176076,24.922503",13,Yes,036
24.928409278365564,60.177494699920544,36,Töölönkatu,"60.1774947, 24.928409278",18,Yes,037
24.924980999773368,60.179140999757408,37,Töölöntori,"60.179141,24.924981",16,Yes,038
24.926764000158528,60.182577999974797,38,Ooppera,"60.182578,24.926764",24,Yes,039
24.952391000244518,60.178102000407023,39,Hakaniemen,"60.178102,24.952391",30,Yes,040
24.949272000302642,60.180808000189131,40,Ympyrätalo,"60.180808,24.949272",28,Yes,041
24.956880000411729,60.181906999608373,41,Haapaniemenkatu,"60.181907,24.956880",18,Yes,042
24.952703000243332,60.18428300036021,42,Karhupuisto,"60.184283,24.952703",20,Yes,043
24.960505000305545,60.187703999839755,43,Sörnäisten,"60.187704,24.960505",24,Yes,044
24.950833000342755,60.186742000443019,44,Brahen,"60.186742,24.950833",21,Yes,045
24.941811999823983,60.186280999868302,45,Diakoniapuisto,"60.186281,24.941812",10,Yes,046
24.953504666707033,60.166730718847646,46,Vanha,"60.16673071893,24.95350466638",23,Yes,047
24.968020999769351,60.164800000319815,47,Mastokatu,"60.164800,24.968021",17,Yes,048
24.941770842350536,60.163458942975865,48,Annankatu,"60.16345894291,24.94177084206",16,Yes,049
24.886109399729037,60.149812700395842,49,Melkonkuja,"60.1498127,24.8861094",12,Yes,050
