FID,id,tyyppi,nimi,teksti,kiinnitys,kuvaus_pvm,katselusuunta,x,y,z,datanomistaja,paivitetty_tietopalveluun,geom
liikennemerkkipilotti_liikennemerkit.5977,5977,511,Suojatie,,Trafficlight,23.10.2015,142,25492323.853,6671690.371,17.904,Helsinki/MAKA,2018-11-20,POINT (6671690.371 25492323.853)
liikennemerkkipilotti_liikennemerkit.5978,5978,Unclassified,Luokittelematon,,Pole,05.10.2015,87,25495784.394,6674000.82,19.502,Helsinki/MAKA,2018-11-20,POINT (6674000.82 25495784.394)
liikennemerkkipilotti_liikennemerkit.5979,5979,855b,Maksullinen pysäköinti,9-19,Pole,20.10.2015,351,25496046.185,6674503.924,7.225,Helsinki/MAKA,2018-11-20,POINT (6674503.924 25496046.185)
liikennemerkkipilotti_liikennemerkit.5980,5980,Unclassified,Luokittelematon,,Other,21.10.2015,201,25497212.558,6673469.896,12.008,Helsinki/MAKA,2018-11-20,POINT (6673469.896 25497212.558)
liikennemerkkipilotti_liikennemerkit.5981,5981,424,N/A,,Pole,23.10.2015,137,25492343.615,6671650.883,16.976,Helsinki/MAKA,2018-11-20,POINT (6671650.883 25492343.615)
liikennemerkkipilotti_liikennemerkit.5982,5982,412,N/A,,Other,21.10.2015,201,25497200.51,6673476.499,11.435,Helsinki/MAKA,2018-11-20,POINT (6673476.499 25497200.51)
liikennemerkkipilotti_liikennemerkit.5983,5983,855b,Maksullinen pysäköinti,9-21 (9-18),Pole,05.10.2015,86,25495784.403,6674000.805,19.782,Helsinki/MAKA,2018-11-20,POINT (6674000.805 25495784.403)
liikennemerkkipilotti_liikennemerkit.5984,5984,312,Moottorikäyttöisellä ajoneuvolla ajo kielletty,,Pole,21.10.2015,271,25497178.293,6673463.912,6.417,Helsinki/MAKA,2018-11-20,POINT (6673463.912 25497178.293)
liikennemerkkipilotti_liikennemerkit.5985,5985,511,Suojatie,,Trafficlight,23.10.2015,330,25492323.813,6671690.112,17.939,Helsinki/MAKA,2018-11-20,POINT (6671690.112 25492323.813)
liikennemerkkipilotti_liikennemerkit.5986,5986,521a,Ajoneuvojen sijoitus pysäköintipaikalla,,Pole,05.10.2015,90,25495784.4,6674000.819,19.045,Helsinki/MAKA,2018-11-20,POINT (6674000.819 25495784.4)
liikennemerkkipilotti_liikennemerkit.5987,5987,872,"Tekstillinen lisäkilpi ""Huoltoajo sallittu""",unreadable,Pole,21.10.2015,271,25497178.227,6673463.85,5.92,Helsinki/MAKA,2018-11-20,POINT (6673463.85 25497178.227)
liikennemerkkipilotti_liikennemerkit.5988,5988,372,Pysäköinti kielletty,,Pole,23.10.2015,145,25492351.255,6671649.523,17.525,Helsinki/MAKA,2018-11-20,POINT (6671649.523 25492351.255)
liikennemerkkipilotti_liikennemerkit.5989,5989,645,N/A,,Pole,21.10.2015,180,25497188.838,6673461.618,8.529,Helsinki/MAKA,2018-11-20,POINT (6673461.618 25497188.838)
liikennemerkkipilotti_liikennemerkit.5990,5990,677,Pysäköinti,,Lightpole,05.10.2015,255,25495767.624,6674004.513,19.81,Helsinki/MAKA,2018-11-20,POINT (6674004.513 25495767.624)
liikennemerkkipilotti_liikennemerkit.5991,5991,645,N/A,,Pole,21.10.2015,271,25497188.857,6673461.772,8.68,Helsinki/MAKA,2018-11-20,POINT (6673461.772 25497188.857)
liikennemerkkipilotti_liikennemerkit.5992,5992,645,N/A,,Pole,21.10.2015,180,25497188.842,6673461.747,8.349,Helsinki/MAKA,2018-11-20,POINT (6673461.747 25497188.842)
liikennemerkkipilotti_liikennemerkit.5993,5993,851,Voimassaoloaika,7-16,Pole,23.10.2015,145,25492351.242,6671649.495,17.133,Helsinki/MAKA,2018-11-20,POINT (6671649.495 25492351.242)
liikennemerkkipilotti_liikennemerkit.5994,5994,521,Pysäköintipaikka,,Pole,20.10.2015,351,25496046.183,6674503.925,7.638,Helsinki/MAKA,2018-11-20,POINT (6674503.925 25496046.183)
liikennemerkkipilotti_liikennemerkit.5995,5995,Unclassified,Luokittelematon,,Pole,05.10.2015,90,25495784.357,6674000.777,18.655,Helsinki/MAKA,2018-11-20,POINT (6674000.777 25495784.357)
liikennemerkkipilotti_liikennemerkit.5996,5996,373,Pysäköintikieltoalue,,Pole,21.10.2015,271,25497188.848,6673461.672,7.923,Helsinki/MAKA,2018-11-20,POINT (6673461.672 25497188.848)
liikennemerkkipilotti_liikennemerkit.5997,5997,511,Suojatie,,Trafficlight,23.10.2015,142,25492337.617,6671692.25,18.122,Helsinki/MAKA,2018-11-20,POINT (6671692.25 25492337.617)
liikennemerkkipilotti_liikennemerkit.5998,5998,826,Vaikutusalue nuolen suuntaan,,Pole,05.10.2015,90,25495784.348,6674000.783,18.401,Helsinki/MAKA,2018-11-20,POINT (6674000.783 25495784.348)
liikennemerkkipilotti_liikennemerkit.5999,5999,511,Suojatie,,Trafficlight,23.10.2015,321,25492337.781,6671692.101,18.113,Helsinki/MAKA,2018-11-20,POINT (6671692.101 25492337.781)
liikennemerkkipilotti_liikennemerkit.6000,6000,372,Pysäköinti kielletty,,Pole,23.10.2015,321,25492348.378,6671675.946,18.302,Helsinki/MAKA,2018-11-20,POINT (6671675.946 25492348.378)
liikennemerkkipilotti_liikennemerkit.6001,6001,152,N/A,,Trafficlight,21.10.2015,203,25497194.007,6673443.167,9.451,Helsinki/MAKA,2018-11-20,POINT (6673443.167 25497194.007)
liikennemerkkipilotti_liikennemerkit.6002,6002,373,Pysäköintikieltoalue,,Pole,23.10.2015,100,25492359.915,6671661.287,16.553,Helsinki/MAKA,2018-11-20,POINT (6671661.287 25492359.915)
liikennemerkkipilotti_liikennemerkit.6003,6003,425,N/A,,Trafficlight,21.10.2015,21,25497194.209,6673443.091,8.524,Helsinki/MAKA,2018-11-20,POINT (6673443.091 25497194.209)
liikennemerkkipilotti_liikennemerkit.6004,6004,872,"Tekstillinen lisäkilpi ""Huoltoajo sallittu""",unreadable,Pole,23.10.2015,100,25492359.857,6671661.335,16.146,Helsinki/MAKA,2018-11-20,POINT (6671661.335 25492359.857)
liikennemerkkipilotti_liikennemerkit.6005,6005,855b,Maksullinen pysäköinti,9-21 (9-18),Lightpole,05.10.2015,252,25495767.568,6674004.599,19.362,Helsinki/MAKA,2018-11-20,POINT (6674004.599 25495767.568)
liikennemerkkipilotti_liikennemerkit.6006,6006,152,N/A,,Trafficlight,23.10.2015,207,25497204.487,6673432.731,10.107,Helsinki/MAKA,2018-11-20,POINT (6673432.731 25497204.487)
liikennemerkkipilotti_liikennemerkit.6007,6007,521a,Ajoneuvojen sijoitus pysäköintipaikalla,,Pole,20.10.2015,349,25496046.195,6674503.9,6.617,Helsinki/MAKA,2018-11-20,POINT (6674503.9 25496046.195)
liikennemerkkipilotti_liikennemerkit.6008,6008,Unclassified,Luokittelematon,,Pole,05.10.2015,197,25495782.934,6674000.853,20.4,Helsinki/MAKA,2018-11-20,POINT (6674000.853 25495782.934)
liikennemerkkipilotti_liikennemerkit.6009,6009,872,"Tekstillinen lisäkilpi ""Huoltoajo sallittu""",unreadable,Pole,23.10.2015,100,25492359.925,6671661.3,15.911,Helsinki/MAKA,2018-11-20,POINT (6671661.3 25492359.925)
liikennemerkkipilotti_liikennemerkit.6767,6767,372,Pysäköinti kielletty,,Lightpole,23.10.2015,337,25492430.846,6671987.809,26.378,Helsinki/MAKA,2018-11-20,POINT (6671987.809 25492430.846)
liikennemerkkipilotti_liikennemerkit.6768,6768,851,Voimassaoloaika,7-9  15-18 (9-15),Other,06.10.2015,15,25495719.169,6673918.911,18.757,Helsinki/MAKA,2018-11-20,POINT (6673918.911 25495719.169)
liikennemerkkipilotti_liikennemerkit.6769,6769,372,Pysäköinti kielletty,,Wall,05.10.2015,254,25495605.045,6673352.92,18.069,Helsinki/MAKA,2018-11-20,POINT (6673352.92 25495605.045)
liikennemerkkipilotti_liikennemerkit.6770,6770,372,Pysäköinti kielletty,,Other,06.10.2015,12,25495719.165,6673918.878,18.145,Helsinki/MAKA,2018-11-20,POINT (6673918.878 25495719.165)
liikennemerkkipilotti_liikennemerkit.6771,6771,856a,Pysäköintikiekon käyttövelvollisuus,4h 8-20,Pole,23.10.2015,159,25492422.992,6671980.025,25.43,Helsinki/MAKA,2018-11-20,POINT (6671980.025 25492422.992)
liikennemerkkipilotti_liikennemerkit.6772,6772,855a,Maksullinen pysäköinti,9-21,Pole,20.10.2015,345,25495623.022,6673357.627,15.686,Helsinki/MAKA,2018-11-20,POINT (6673357.627 25495623.022)
liikennemerkkipilotti_liikennemerkit.6773,6773,Unclassified,Luokittelematon,,Pole,20.10.2015,345,25495623.017,6673357.527,15.291,Helsinki/MAKA,2018-11-20,POINT (6673357.527 25495623.017)
liikennemerkkipilotti_liikennemerkit.6774,6774,543a,N/A,,Other,06.10.2015,0,25495710.925,6673936.533,23.004,Helsinki/MAKA,2018-11-20,POINT (6673936.533 25495710.925)
liikennemerkkipilotti_liikennemerkit.6775,6775,Unclassified,Luokittelematon,,Pole,20.10.2015,345,25495623.023,6673357.605,15.495,Helsinki/MAKA,2018-11-20,POINT (6673357.605 25495623.023)
liikennemerkkipilotti_liikennemerkit.6776,6776,Unclassified,Luokittelematon,,Pole,23.10.2015,159,25492423.013,6671980.101,25.163,Helsinki/MAKA,2018-11-20,POINT (6671980.101 25492423.013)
liikennemerkkipilotti_liikennemerkit.6777,6777,372,Pysäköinti kielletty,,Pole,23.10.2015,92,25492446.663,6671980.83,25.511,Helsinki/MAKA,2018-11-20,POINT (6671980.83 25492446.663)
liikennemerkkipilotti_liikennemerkit.6778,6778,872,"Tekstillinen lisäkilpi ""Huoltoajo sallittu""",unreadable,Pole,23.10.2015,91,25492446.619,6671980.813,25.092,Helsinki/MAKA,2018-11-20,POINT (6671980.813 25492446.619)
liikennemerkkipilotti_liikennemerkit.6779,6779,511,Suojatie,,Wall,05.10.2015,175,25495606.328,6673354.154,18.669,Helsinki/MAKA,2018-11-20,POINT (6673354.154 25495606.328)
liikennemerkkipilotti_liikennemerkit.6780,6780,Unclassified,Luokittelematon,,Pole,23.10.2015,339,25492451.128,6671999.678,27.184,Helsinki/MAKA,2018-11-20,POINT (6671999.678 25492451.128)
liikennemerkkipilotti_liikennemerkit.6781,6781,511,Suojatie,,Trafficlight,06.10.2015,3,25495725.315,6673985.39,19.371,Helsinki/MAKA,2018-11-20,POINT (6673985.39 25495725.315)
liikennemerkkipilotti_liikennemerkit.6782,6782,371,Pysäyttäminen kielletty,,Pole,05.10.2015,169,25495605.985,6673369.926,17.712,Helsinki/MAKA,2018-11-20,POINT (6673369.926 25495605.985)
liikennemerkkipilotti_liikennemerkit.6783,6783,511,Suojatie,,Trafficlight,06.10.2015,183,25495725.362,6673985.574,19.366,Helsinki/MAKA,2018-11-20,POINT (6673985.574 25495725.362)
liikennemerkkipilotti_liikennemerkit.6784,6784,872,"Tekstillinen lisäkilpi ""Huoltoajo sallittu""",unreadable,Pole,05.10.2015,169,25495605.972,6673369.88,17.252,Helsinki/MAKA,2018-11-20,POINT (6673369.88 25495605.972)
liikennemerkkipilotti_liikennemerkit.6785,6785,372,Pysäköinti kielletty,,Pole,05.10.2015,77,25495615.752,6673397.869,17.115,Helsinki/MAKA,2018-11-20,POINT (6673397.869 25495615.752)
liikennemerkkipilotti_liikennemerkit.6786,6786,871,Tekstillinen lisäkilpi,unreadable,Pole,05.10.2015,77,25495615.731,6673397.88,16.692,Helsinki/MAKA,2018-11-20,POINT (6673397.88 25495615.731)
liikennemerkkipilotti_liikennemerkit.6787,6787,372,Pysäköinti kielletty,,Other,20.10.2015,302,25495607.036,6673424.705,14.097,Helsinki/MAKA,2018-11-20,POINT (6673424.705 25495607.036)
liikennemerkkipilotti_liikennemerkit.6788,6788,231,Väistämisvelvollisuus risteyksessä,,Trafficlight,05.10.2015,105,25495696.722,6673996.429,20.698,Helsinki/MAKA,2018-11-20,POINT (6673996.429 25495696.722)
liikennemerkkipilotti_liikennemerkit.6789,6789,372,Pysäköinti kielletty,,Pole,23.10.2015,28,25492423.24,6672016.928,25.944,Helsinki/MAKA,2018-11-20,POINT (6672016.928 25492423.24)
liikennemerkkipilotti_liikennemerkit.6790,6790,332,N/A,,Other,06.10.2015,0,25495719.832,6673984.811,22.365,Helsinki/MAKA,2018-11-20,POINT (6673984.811 25495719.832)
liikennemerkkipilotti_liikennemerkit.6791,6791,511,Suojatie,,Pole,20.10.2015,257,25495623.518,6673357.063,15.506,Helsinki/MAKA,2018-11-20,POINT (6673357.063 25495623.518)
