FID,alue_id,liikennemerkki_idt,liikennemerkkityypit,liikennemerkkien_nimet,liikennemerkkien_tekstit,pyspaikkojen_lukumaara_arvio,pysakointisuunta,pyspaikan_vaatima_noin_pituus,aluepysakointitunnus,lisatieto,keskilinjan_noin_pituus,ylre_katualue_nro,ylre_viheralue_nro,ylre_osa_nro,datanomistaja,paivitetty_tietopalveluun,geom
liikennemerkkipilotti_pysakointipaikat.3508,3508,"6838, 6836, 6830, 6847","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, unreadable, no_text, no_text",2,Pitkittäin,5.4,E,,12.08,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673221.13100503 25497165.7010586, 6673221.21141508 25497167.8102731, 6673233.33752548 25497167.0067357, 6673233.19239953 25497165.0524882, 6673221.13100503 25497165.7010586))"
liikennemerkkipilotti_pysakointipaikat.3058,3058,"7529, 7594, 7595","372, 856a, Unclassified","Pysäköinti kielletty, Pysäköintikiekon käyttövelvollisuus, Luokittelematon","no_text, 4h 8-20, no_text",,,,N,,52.26,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672327.54010876 25492169.0630334, 6672342.34127233 25492166.2033391, 6672355.33613059 25492163.6864005, 6672368.74387053 25492161.1705074, 6672379.20745328 25492159.2607372, 6672378.81213484 25492156.7560354, 6672327.05630141 25492166.8478591, 6672327.54010876 25492169.0630334))"
liikennemerkkipilotti_pysakointipaikat.3669,3669,"18595, 18597, 18598, 18562","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",5,Pitkittäin,5.4,C,,34.3,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672308.46722901 25497223.1637072, 6672327.75014839 25497222.1754558, 6672327.72971871 25497220.1697537, 6672308.44482024 25497220.7541446, 6672308.46722901 25497223.1637072)), ((6672334.54456495 25497221.8272413, 6672349.88197789 25497221.0411975, 6672349.82699822 25497218.7087766, 6672334.52326249 25497219.8775583, 6672334.54456495 25497221.8272413)))"
liikennemerkkipilotti_pysakointipaikat.2942,2942,"18658, 18698, 18696, 18692","152, 372, 855a, Unclassified","N/A, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, no_text, 9-21, no_text",,,,D,,125.11,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672694.30435029 25498170.2873938, 6672692.59064178 25498170.2873938, 6672694.78212123 25498237.0604225, 6672697.07889406 25498236.9899564, 6672694.30435029 25498170.2873938)), ((6672694.12778408 25498166.042685, 6672692.13462176 25498118.1280561, 6672690.23480136 25498118.2457111, 6672692.4810678 25498166.042685, 6672694.12778408 25498166.042685)), ((6672691.96136529 25498113.961279, 6672691.54073915 25498103.849291, 6672689.65040684 25498103.8915206, 6672690.05217807 25498113.961279, 6672691.96136529 25498113.961279)))"
liikennemerkkipilotti_pysakointipaikat.2876,2876,"17775, 17747, 17776","372, 856a, Unclassified","Pysäköinti kielletty, Pysäköintikiekon käyttövelvollisuus, Luokittelematon","no_text, 4h 8-20, no_text",,,,N,,99.03,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672240.49655175 25493855.4739099, 6672224.34242735 25493841.721319, 6672205.28905394 25493825.2076591, 6672203.36979632 25493827.2315636, 6672239.00126334 25493857.5634137, 6672240.49655175 25493855.4739099)), ((6672198.90829145 25493819.6600965, 6672194.58931563 25493815.9050873, 6672191.36188816 25493812.9498098, 6672188.30406379 25493810.1102708, 6672186.22122273 25493808.1768934, 6672184.1968079 25493806.2976903, 6672182.01767127 25493804.2556994, 6672180.28769139 25493802.6217917, 6672178.51466826 25493800.9472424, 6672176.97672536 25493799.4947121, 6672175.58170247 25493798.1337282, 6672173.59155236 25493796.1214112, 6672171.4609294 25493793.9670567, 6672170.052164 25493792.5426, 6672168.01762975 25493790.234466, 6672166.64696904 25493788.6794819, 6672165.43105893 25493787.3000588, 6672163.085446 25493784.639013, 6672161.37253597 25493782.5313618, 6672159.76071445 25493784.1017024, 6672168.5558234 25493793.9680106, 6672174.41922937 25493800.2260688, 6672182.65054928 25493807.2734318, 6672197.98561104 25493821.4809155, 6672198.90829145 25493819.6600965)))"
liikennemerkkipilotti_pysakointipaikat.3642,3642,"16251, 16227, 16263, 16253","521, 855b, Unclassified, 845","Pysäköintipaikka, Maksullinen pysäköinti, Luokittelematon, N/A","no_text, 9-21, no_text, no_text",4,Pitkittäin,5.4,C,,23.79,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672234.756945 25497316.521889, 6672234.86658773 25497318.7014675, 6672258.71700435 25497317.4335805, 6672258.619251 25497315.4360418, 6672234.756945 25497316.521889))"
liikennemerkkipilotti_pysakointipaikat.2668,2668,10736,373,Pysäköintikieltoalue,no_text,,,,,,13.51,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6670512.73577614 25493479.7313185, 6670512.27913334 25493477.3046078, 6670498.76059083 25493480.2409049, 6670498.876399 25493482.770892, 6670512.73577614 25493479.7313185))"
liikennemerkkipilotti_pysakointipaikat.3281,3281,"4140, 14785, 14783, 14751, 14752","Unclassified, 363_30, 372, 855a, Unclassified","Luokittelematon, N/A, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, no_text, no_text, 9-21, no_text",2,Pitkittäin,5.4,E,,12.5,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673711.971279 25497603.602431, 6673712.07145231 25497605.909202, 6673724.71747419 25497604.4968571, 6673724.53798169 25497602.4597197, 6673711.971279 25497603.602431))"
liikennemerkkipilotti_pysakointipaikat.3744,3744,"9556, 11827, 9561, 9574","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21 (9-18), 60 min, no_text",6,Pitkittäin,5.4,A,,37.14,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672682.909786 25496491.957134, 6672713.9396938 25496470.591572, 6672712.49851728 25496468.498504, 6672681.47170412 25496489.8676933, 6672682.909786 25496491.957134))"
liikennemerkkipilotti_pysakointipaikat.4432,4432,"4709, 4712, 4713","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",3,Pitkittäin,5.4,H,,20.28,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6674454.4788516 25495775.5697985, 6674465.90955215 25495792.6537372, 6674467.95623878 25495791.4022769, 6674456.35486758 25495774.2818068, 6674454.4788516 25495775.5697985))"
liikennemerkkipilotti_pysakointipaikat.4623,4623,"146, 156, 147, 157","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",12,Pitkittäin,5.4,F,,65.96,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673291.70884039 25496186.355754, 6673325.66819396 25496195.7044318, 6673346.5619256 25496202.0682907, 6673355.22775333 25496205.4652952, 6673356.28643854 25496202.8000314, 6673353.7705446 25496201.955656, 6673346.78719494 25496199.4213759, 6673336.81902648 25496196.7181438, 6673326.62558867 25496193.7896423, 6673292.21569641 25496183.9341085, 6673291.70884039 25496186.355754))"
liikennemerkkipilotti_pysakointipaikat.2973,2973,"5448, 5456, 5454","372, 856a, Unclassified","Pysäköinti kielletty, Pysäköintikiekon käyttövelvollisuus, Luokittelematon","no_text, 4h 8-20, no_text",,,,N,,62.11,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671526.34865329 25492040.4133356, 6671521.207572 25492046.164517, 6671522.33730761 25492046.9722154, 6671527.25636694 25492041.1369989, 6671526.34865329 25492040.4133356)), ((6671517.484438 25492050.329481, 6671511.83058852 25492056.6542816, 6671513.14754634 25492057.8533438, 6671518.58811053 25492051.4543382, 6671517.484438 25492050.329481)), ((6671504.649325 25492064.687756, 6671474.69747905 25492098.1940333, 6671476.19117508 25492099.6583007, 6671506.29750956 25492066.0000954, 6671504.649325 25492064.687756)))"
liikennemerkkipilotti_pysakointipaikat.3831,3831,"6985, 7005, 7000, 7001","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21 (9-18), no_text, no_text",2,Pitkittäin,5.4,A/B,,13.67,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672586.35703035 25496785.7915382, 6672578.43280485 25496774.3649252, 6672576.53352732 25496775.6820525, 6672584.54904371 25496787.2403055, 6672586.35703035 25496785.7915382))"
liikennemerkkipilotti_pysakointipaikat.4357,4357,"16493, 16509, 16492, 16508, 16467, 16503, 16452, 16465, 16463, 16462","521, 855b, Unclassified, Unclassified, 521, 826, 855b, Unclassified, Unclassified, 521c","Pysäköintipaikka, Maksullinen pysäköinti, Luokittelematon, Luokittelematon, Pysäköintipaikka, Vaikutusalue nuolen suuntaan, Maksullinen pysäköinti, Luokittelematon, Luokittelematon, N/A","no_text, 9-21 (9-18), no_text, 60 min, no_text, no_text, 9-21 (9-18), no_text, 60 min, no_text",6,Pitkittäin,5.4,H,,34.69,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6674032.8149083 25495834.2572042, 6673995.29263831 25495829.657117, 6673996.84478441 25495834.355465, 6674033.3384181 25495838.4103132, 6674032.8149083 25495834.2572042))"
liikennemerkkipilotti_pysakointipaikat.2896,2896,"19857, 19860, 19887, 19846, 19841","551, 372, 855a, Unclassified, Unclassified","Yksisuuntainen tie, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, no_text, 9-21, no_text, no_text",,,,D,,175.1,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672579.26117833 25498261.3037104, 6672577.71374501 25498260.0960674, 6672554.55711204 25498294.3561963, 6672556.21717501 25498295.2445632, 6672579.26117833 25498261.3037104)), ((6672549.51595896 25498305.3175216, 6672547.80005038 25498304.3091655, 6672522.30583933 25498342.4409082, 6672523.96407831 25498343.6631346, 6672549.51595896 25498305.3175216)), ((6672519.61774457 25498350.1343357, 6672517.97766739 25498349.0518712, 6672470.99782646 25498418.9418036, 6672470.75128503 25498419.2431321, 6672470.53213708 25498419.4714112, 6672470.28559564 25498419.7088214, 6672470.02079187 25498419.9371006, 6672469.64641413 25498420.2475601, 6672470.915784 25498421.931834, 6672471.33658899 25498421.5242809, 6672471.652197 25498421.198861, 6672471.886167 25498420.943418, 6672472.114176 25498420.682641, 6672472.336102 25498420.416667, 6672472.551828 25498420.14564, 6672472.761237 25498419.869703, 6672472.964218 25498419.589005, 6672473.160663 25498419.303694, 6672473.53248969 25498418.750086, 6672474.15647641 25498417.8210401, 6672474.66187284 25498417.0685618, 6672475.7407921 25498415.4621727, 6672476.88178201 25498413.7633673, 6672485.4381969 25498401.0238302, 6672495.26605108 25498386.3912634, 6672508.754055 25498366.309145, 6672519.61774457 25498350.1343357)))"
liikennemerkkipilotti_pysakointipaikat.2859,2859,"15142, 15144","372, 851","Pysäköinti kielletty, Voimassaoloaika","no_text, 8-17",,,,,,5.36,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671988.94744473 25494017.7918793, 6671994.55250009 25494016.9739817, 6671994.2005406 25494014.7654151, 6671988.75997641 25494015.5829092, 6671988.94744473 25494017.7918793))"
liikennemerkkipilotti_pysakointipaikat.4336,4336,"16712, 16710, 16643, 16642, 16708","521, 855b, Unclassified, Unclassified, 521c","Pysäköintipaikka, Maksullinen pysäköinti, Luokittelematon, Luokittelematon, N/A","no_text, 9-20 (16-20) 6-8, no_text, no_text, no_text",14,Poikittain,3.5,H,,49.24,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673945.40798748 25495972.0561245, 6673958.36521681 25496023.5574965, 6673962.8291135 25496019.7521349, 6673949.81980889 25495968.3907245, 6673945.40798748 25495972.0561245))"
liikennemerkkipilotti_pysakointipaikat.4396,4396,"5949, 6150, 5974, 6163, 5950, 6151, 5951, 6152","521, 521, 855b, 521b, Unclassified, 855b, 521b, Unclassified","Pysäköintipaikka, Pysäköintipaikka, Maksullinen pysäköinti, N/A, Luokittelematon, Maksullinen pysäköinti, N/A, Luokittelematon","no_text, no_text, 9-19, no_text, no_text, 9-19, no_text, no_text",46,Poikittain,3.5,H,,162.97,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6674542.08107236 25496038.6888392, 6674527.21329567 25495956.2402593, 6674521.97578343 25495956.4655287, 6674537.23778147 25496039.7025512, 6674542.08107236 25496038.6888392)), ((6674537.23778147 25496039.7025512, 6674521.97578343 25495956.4655287, 6674517.24512721 25495957.2539714, 6674532.45080791 25496040.6599459, 6674537.23778147 25496039.7025512)))"
liikennemerkkipilotti_pysakointipaikat.4456,4456,"5376, 6431, 6419","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",12,Pitkittäin,5.4,F,,66.33,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673007.94916508 25495827.7905937, 6673017.047565 25495762.070812, 6673014.93493603 25495761.7851965, 6673006.02297537 25495827.5656931, 6673007.94916508 25495827.7905937))"
liikennemerkkipilotti_pysakointipaikat.4487,4487,"6593, 6595","372, 851","Pysäköinti kielletty, Voimassaoloaika","no_text, 8-17 (8-17) 8-17",2,Pitkittäin,5.4,,,14.26,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673163.31817572 25495767.8705987, 6673165.5068943 25495768.1221849, 6673167.29659131 25495753.8046088, 6673165.15589891 25495753.5423484, 6673163.31817572 25495767.8705987))"
liikennemerkkipilotti_pysakointipaikat.2958,2958,"5200, 5199, 5190","372, 856a, Unclassified","Pysäköinti kielletty, Pysäköintikiekon käyttövelvollisuus, Luokittelematon","no_text, 4h 8-20, no_text",,,,N,,61.19,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671422.84704657 25492621.7146062, 6671366.17212881 25492628.4744518, 6671366.56592089 25492630.8004271, 6671423.22671892 25492623.9222008, 6671422.84704657 25492621.7146062)), ((6671359.80983875 25492629.2333077, 6671355.7643998 25492629.7158235, 6671355.93849757 25492631.5051634, 6671360.08234698 25492630.856806, 6671359.80983875 25492629.2333077)))"
liikennemerkkipilotti_pysakointipaikat.3953,3953,"9315, 9320, 9296, 9297","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",12,Pitkittäin,5.4,C,,72.73,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671566.73779784 25496943.4855083, 6671557.0908753 25496904.0491539, 6671555.22663281 25496904.6055351, 6671564.83255762 25496943.8692962, 6671566.73779784 25496943.4855083)), ((6671555.72081772 25496898.4483962, 6671548.08391891 25496867.2289636, 6671546.20509886 25496867.7158619, 6671553.80218008 25496898.9077242, 6671555.72081772 25496898.4483962)))"
liikennemerkkipilotti_pysakointipaikat.3617,3617,"2595, 2597","372, 851","Pysäköinti kielletty, Voimassaoloaika","no_text, 8-17",,,,,,14.8,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672345.12308276 25495908.0126589, 6672353.88682982 25495920.3515339, 6672355.77033114 25495919.0137678, 6672347.03680248 25495906.7174386, 6672345.12308276 25495908.0126589))"
liikennemerkkipilotti_pysakointipaikat.3961,3961,"9520, 9447","375, 534","Taksiasema-alue, N/A","no_text, no_text",10,Pitkittäin,5.4,,,57.97,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671630.31425557 25496941.769555, 6671686.69059448 25496928.1154175, 6671686.27628381 25496926.1184237, 6671629.9556144 25496939.8150846, 6671630.31425557 25496941.769555))"
liikennemerkkipilotti_pysakointipaikat.4047,4047,"740, 741, 748","521, 855b, Unclassified","Pysäköintipaikka, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",1,Pitkittäin,5.4,B,,9.21,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671968.97353708 25496472.4160883, 6671974.36733637 25496480.311972, 6671976.28277426 25496479.003507, 6671970.92370826 25496471.1584688, 6671968.97353708 25496472.4160883))"
liikennemerkkipilotti_pysakointipaikat.3718,3718,"13506, 13507, 13740, 13741, 13727","372, 851, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Voimassaoloaika, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 7-18, unreadable, no_text, no_text",2,Pitkittäin,5.4,A,,12.22,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672619.38974464 25496332.8033026, 6672620.71661342 25496334.7144798, 6672631.08651148 25496327.5897875, 6672629.72460996 25496325.6281477, 6672619.38974464 25496332.8033026))"
liikennemerkkipilotti_pysakointipaikat.1026,1026,"8496, 8470, 8495","677, 855b, Unclassified","Pysäköinti, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, 4h",,,,,,53.07,687,,7,Helsinki/MAKA,2018-11-20,"POLYGON ((6673183.587709 25497277.383337, 6673181.755083 25497277.504067, 6673185.109446 25497330.346551, 6673187.021888 25497330.225152, 6673185.780135 25497310.663384, 6673183.587709 25497277.383337))"
liikennemerkkipilotti_pysakointipaikat.4533,4533,"9978, 9980, 9982","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",7,Pitkittäin,5.4,F,,43.49,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6673330.08261831 25495558.3707739, 6673334.51769182 25495582.340135, 6673336.38643505 25495581.9845637, 6673332.00350358 25495557.9880139, 6673330.08261831 25495558.3707739)), ((6673335.2650082 25495586.3790075, 6673338.90213224 25495604.9598503, 6673340.73284209 25495604.5931852, 6673337.11692363 25495586.0387753, 6673335.2650082 25495586.3790075)))"
liikennemerkkipilotti_pysakointipaikat.857,857,"12186, 12177","371, 872","Pysäyttäminen kielletty, Tekstillinen lisäkilpi ""Huoltoajo sallittu""","no_text, unreadable",,,,,,13.12,465,,5,Helsinki/MAKA,2018-11-20,"POLYGON ((6671670.103041 25497720.016289, 6671663.722154 25497724.011194, 6671658.515225 25497727.207155, 6671659.900468 25497729.37734, 6671671.329382 25497722.082189, 6671670.103041 25497720.016289))"
liikennemerkkipilotti_pysakointipaikat.2980,2980,"18191, 18178, 18192","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",,,,D,,11,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672666.36938923 25497998.5722535, 6672665.5623951 25497999.8875579, 6672674.2865404 25498005.5088531, 6672674.994949 25498004.44731, 6672666.36938923 25497998.5722535))"
liikennemerkkipilotti_pysakointipaikat.2878,2878,"20835, 20849, 20850","677, 855b, Unclassified","Pysäköinti, Maksullinen pysäköinti, Luokittelematon","no_text, unreadable, 4h",,,,,,32.56,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6672796.07909123 25498697.1407489, 6672795.29344981 25498695.6500901, 6672794.17748968 25498693.532692, 6672790.37758833 25498686.4066972, 6672788.3125723 25498682.5540816, 6672784.79054052 25498675.7490391, 6672783.86290196 25498673.9496906, 6672782.97931646 25498672.1969769, 6672781.89128276 25498670.0013534, 6672781.2385402 25498668.684136, 6672779.90968428 25498669.2772417, 6672794.55607201 25498697.9125734, 6672796.07909123 25498697.1407489))"
liikennemerkkipilotti_pysakointipaikat.4244,4244,"18270, 18271, 18275, 18278, 18255","551, 372, 855a, Unclassified, Unclassified","Yksisuuntainen tie, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, no_text, 9-21, no_text, no_text",6,Pitkittäin,5.4,B,,36.41,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671574.11651783 25496481.1686203, 6671575.90859061 25496480.762364, 6671574.73980888 25496474.4801623, 6671572.93873666 25496474.8069404, 6671574.11651783 25496481.1686203)), ((6671572.14293397 25496470.5084832, 6671573.95453366 25496470.2798529, 6671570.11946862 25496449.0956841, 6671568.173331 25496449.067027, 6671572.14293397 25496470.5084832)), ((6671567.98730004 25496446.0441383, 6671570.35687741 25496446.0641565, 6671570.61254841 25496444.0005263, 6671572.29267214 25496438.3392398, 6671570.12899407 25496437.5731031, 6671569.67678509 25496439.0739081, 6671569.32048989 25496440.2563915, 6671569.04089927 25496441.1843054, 6671568.66442562 25496442.4337577, 6671568.20886152 25496444.1494977, 6671567.98730004 25496446.0441383)))"
liikennemerkkipilotti_pysakointipaikat.4657,4657,"8543, 8558","372, 872","Pysäköinti kielletty, Tekstillinen lisäkilpi ""Huoltoajo sallittu""","no_text, Ei koske City Car Clubin autoja, Gäller ej City Car Clubs bilar",1,Pitkittäin,5.4,,,10.2,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673604.277027 25495757.747006, 6673614.87002574 25495754.4674629, 6673614.40717535 25495751.9238245, 6673604.69346417 25495755.3670986, 6673604.277027 25495757.747006))"
liikennemerkkipilotti_pysakointipaikat.3462,3462,"9108, 9154, 9110, 9111, 9106","372, 855a, Unclassified, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon, Luokittelematon","no_text, 9-21 (9-18), no_text, no_text, unreadable",14,Pitkittäin,5.4,A,,84.7,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672584.74511591 25496541.9452564, 6672576.34871185 25496529.9192446, 6672574.13204496 25496531.3413448, 6672582.74859736 25496543.3932547, 6672584.74511591 25496541.9452564)), ((6672574.8406579 25496527.7592873, 6672548.68616513 25496490.1973627, 6672546.73366102 25496491.7784163, 6672572.97753957 25496529.2576033, 6672574.8406579 25496527.7592873)), ((6672544.01873124 25496483.4919015, 6672534.39216 25496469.661904, 6672532.45721636 25496471.109954, 6672542.22827415 25496484.93586, 6672544.01873124 25496483.4919015)), ((6672530.48869455 25496464.0451127, 6672525.15762874 25496456.3741125, 6672522.82695191 25496457.87538, 6672528.2897335 25496465.6471724, 6672530.48869455 25496464.0451127)))"
liikennemerkkipilotti_pysakointipaikat.4479,4479,"6491, 6492, 6502","677, 855b, Unclassified","Pysäköinti, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",1,Pitkittäin,5.4,F,,6.16,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673054.30790009 25495765.6316413, 6673056.283608 25495766.323639, 6673057.668357 25495766.935397, 6673060.104329 25495767.9645249, 6673060.91919205 25495766.0768169, 6673058.43553089 25495764.8532485, 6673055.11180785 25495763.7209912, 6673054.30790009 25495765.6316413))"
liikennemerkkipilotti_pysakointipaikat.3921,3921,"18707, 18682","372, 851","Pysäköinti kielletty, Voimassaoloaika","no_text, 8-20",1,Pitkittäin,5.4,,,10.26,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671682.43701655 25496794.8499576, 6671683.3373882 25496805.6653266, 6671685.91506243 25496805.3630965, 6671684.93163197 25496794.6447711, 6671682.43701655 25496794.8499576))"
liikennemerkkipilotti_pysakointipaikat.3425,3425,"9053, 9067, 9068, 9054","677, 855b, Unclassified, 521c","Pysäköinti, Maksullinen pysäköinti, Luokittelematon, N/A","no_text, 9-21, 4h, no_text",4,Poikittain,3.5,,,16.55,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673022.87945062 25497509.9334962, 6673017.56946156 25497505.2937138, 6673018.66519443 25497526.8796513, 6673023.9486761 25497531.3819405, 6673022.87945062 25497509.9334962))"
liikennemerkkipilotti_pysakointipaikat.4586,4586,"196, 116, 195, 115","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",14,Pitkittäin,5.4,F,,77.99,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6673262.346808 25496143.316735, 6673233.35282854 25496097.2023735, 6673231.7414371 25496098.1698455, 6673260.32989199 25496144.8814824, 6673262.346808 25496143.316735)), ((6673229.34446948 25496090.8595883, 6673216.64188101 25496070.759146, 6673214.73360164 25496071.9822843, 6673227.57395424 25496091.9749386, 6673229.34446948 25496090.8595883)))"
liikennemerkkipilotti_pysakointipaikat.4324,4324,"10312, 10323, 10276","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",6,Pitkittäin,5.4,B,,42.06,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671481.30479729 25496772.8974842, 6671476.11315 25496767.680806, 6671470.54934051 25496761.3341547, 6671468.92404003 25496762.6484183, 6671473.32097068 25496767.9145096, 6671479.65072181 25496774.4739351, 6671481.30479729 25496772.8974842)), ((6671468.85762978 25496759.190885, 6671464.722004 25496753.812994, 6671453.608028 25496737.595914, 6671451.77155761 25496738.9323753, 6671461.99839771 25496753.8708667, 6671467.29443991 25496760.6278861, 6671468.85762978 25496759.190885)))"
liikennemerkkipilotti_pysakointipaikat.2855,2855,"13166, 13259, 13242","372, 856a, Unclassified","Pysäköinti kielletty, Pysäköintikiekon käyttövelvollisuus, Luokittelematon","no_text, 4h 8-20, no_text",,,,N,,90.13,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671925.42352631 25493628.1933127, 6671909.814821 25493630.760236, 6671910.28054272 25493633.3550855, 6671925.78474118 25493630.4797614, 6671925.42352631 25493628.1933127)), ((6671898.89429753 25493632.6345479, 6671824.68153103 25493645.5710558, 6671825.20477732 25493647.9572215, 6671899.34303544 25493635.1028315, 6671898.89429753 25493632.6345479)))"
liikennemerkkipilotti_pysakointipaikat.2306,2306,"18547, 18564, 18566, 18546","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",,,,B,,9.9,317,,5,Helsinki/MAKA,2018-11-20,"POLYGON ((6671503.228143 25496685.882958, 6671502.724593 25496688.84032, 6671513.317575 25496690.752334, 6671513.812432 25496687.789363, 6671507.842634 25496687.196716, 6671503.228143 25496685.882958))"
liikennemerkkipilotti_pysakointipaikat.3220,3220,"19541, 4217, 19542","Unclassified, Unclassified, Unclassified","Luokittelematon, Luokittelematon, Luokittelematon","no_text, no_text, no_text",7,Pitkittäin,5.4,E,,39.64,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673644.3421758 25497709.6829859, 6673648.30275427 25497749.006623, 6673650.15530916 25497748.8113544, 6673646.0645475 25497709.6829859, 6673644.3421758 25497709.6829859))"
liikennemerkkipilotti_pysakointipaikat.3107,3107,"9517, 9477, 9533","372, 851, 872","Pysäköinti kielletty, Voimassaoloaika, Tekstillinen lisäkilpi ""Huoltoajo sallittu""","no_text, no_text, unreadable",2,Pitkittäin,5.4,,,10.96,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673032.01865928 25497603.7510316, 6673043.09085205 25497603.074347, 6673043.0013591 25497601.0771037, 6673032.01865928 25497601.588449, 6673032.01865928 25497603.7510316))"
liikennemerkkipilotti_pysakointipaikat.4520,4520,"6748, 6723, 6739, 6742, 6745, 6746","511, 372, 855a, Unclassified, 551, Unclassified","Suojatie, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Yksisuuntainen tie, Luokittelematon","no_text, no_text, 9-21, no_text, no_text, no_text",15,Pitkittäin,5.4,F,,81.56,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673262.93151323 25495648.9341469, 6673261.0913248 25495649.1712508, 6673270.69724961 25495730.1459098, 6673272.67244243 25495729.7948441, 6673262.93151323 25495648.9341469))"
