FID,alue_id,liikennemerkki_idt,liikennemerkkityypit,liikennemerkkien_nimet,liikennemerkkien_tekstit,pyspaikkojen_lukumaara_arvio,pysakointisuunta,pyspaikan_vaatima_noin_pituus,aluepysakointitunnus,lisatieto,keskilinjan_noin_pituus,ylre_katualue_nro,ylre_viheralue_nro,ylre_osa_nro,datanomistaja,paivitetty_tietopalveluun,geom
liikennemerkkipilotti_pysakointipaikat.2988,2988,"17089, 17261, 17309, 17262","677, 856b, Unclassified, 521a","Pysäköinti, Pysäköintikiekon käyttövelvollisuus, Luokittelematon, Ajoneuvojen sijoitus pysäköintipaikalla","no_text, 4h 8-20, no_text, no_text",9,Poikittain,3.5,N,Alueen toiset merkit puuttuu,32.62,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671860.31473946 25492791.8855255, 6671860.93490741 25492786.5577191, 6671825.31753511 25492778.847904, 6671824.24633594 25492785.275099, 6671860.31473946 25492791.8855255))"
liikennemerkkipilotti_pysakointipaikat.4515,4515,"4092, 10622, 10611, 10608, 10609, 10594, 10615, 10617, 10618, 10586, 10632","Unclassified, 372, 855a, Unclassified, Unclassified, Unclassified, 372, 855a, Unclassified, 825, Unclassified","Luokittelematon, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon, Luokittelematon, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, N/A, Luokittelematon","no_text, no_text, 9-21, no_text, no_text, no_text, no_text, 9-21, no_text, no_text, no_text",40,Pitkittäin,5.4,F,"Moottorikäyttöisillä ajoneuvoilla ajo kielletty 22-6 (22-6) 22-6, Ei koske huoltoajoa, tontilleajoa, asukaspysäköintitunnuksella F, Gäller ej servicekörning, tomtinfart, med boendeparkeringstecknet F",221.71,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6673414.99297794 25495432.8951918, 6673412.99989396 25495432.5833132, 6673411.04969789 25495432.067186, 6673409.16326238 25495431.3523342, 6673407.36077764 25495430.4464089, 6673405.66153539 25495429.3591059, 6673404.08372238 25495428.1020625, 6673402.64422568 25495426.6887326, 6673401.358452 25495425.134243, 6673395.38302337 25495426.6858759, 6673364.76161252 25495434.6373037, 6673315.98702272 25495447.3025474, 6673316.54126571 25495449.2955801, 6673328.19895425 25495446.1981266, 6673359.90561439 25495437.6942089, 6673397.18769079 25495427.9513098, 6673400.34146159 25495427.1910257, 6673406.93058991 25495432.4566966, 6673410.08436072 25495433.949106, 6673412.11178481 25495434.5404381, 6673414.81501694 25495434.7657074, 6673414.99297794 25495432.8951918)), ((6673306.42706856 25495449.7849711, 6673260.34177417 25495461.7518889, 6673210.29890762 25495474.7464651, 6673192.24920789 25495479.4334108, 6673192.72760264 25495481.3823822, 6673272.247681 25495460.3760159, 6673306.82652527 25495451.7031462, 6673306.42706856 25495449.7849711)))"
liikennemerkkipilotti_pysakointipaikat.3611,3611,"2552, 2554, 2556","372, 855a, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon","no_text, 9-21, no_text",18,Pitkittäin,5.4,A,,104.27,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672364.42224689 25495919.1697694, 6672344.37453047 25495890.7750422, 6672342.42290981 25495892.1529578, 6672362.52042268 25495920.6182145, 6672364.42224689 25495919.1697694)), ((6672341.41802247 25495886.5875709, 6672318.70566403 25495854.4022835, 6672316.807199 25495855.7419831, 6672339.55408896 25495887.9762045, 6672341.41802247 25495886.5875709)), ((6672316.48720763 25495851.2575369, 6672298.5489415 25495825.8293606, 6672296.6110415 25495827.196449, 6672314.56059906 25495852.6406314, 6672316.48720763 25495851.2575369)))"
liikennemerkkipilotti_pysakointipaikat.4382,4382,"18973, 18971, 18958, 18947","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21 (16-20) 16-20, 60 min, no_text",13,Pitkittäin,5.4,H,,75.84,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6674027.108186 25495888.794909, 6674010.63271736 25495900.5540366, 6674011.96598911 25495902.4994415, 6674028.35433387 25495890.4475316, 6674027.108186 25495888.794909)), ((6674004.60095629 25495904.8328467, 6673978.27075415 25495923.0647609, 6673959.74753577 25495938.4608785, 6673961.33670409 25495940.5136433, 6673983.63836913 25495922.1541917, 6674005.77108215 25495906.441655, 6674004.60095629 25495904.8328467)))"
liikennemerkkipilotti_pysakointipaikat.2966,2966,"18788, 18789, 18787, 18809","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",,,,D,,69.05,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6672736.84571236 25498093.302773, 6672736.84571236 25498091.1809398, 6672695.71350001 25498092.7880247, 6672695.82042096 25498095.2808321, 6672736.84571236 25498093.302773)), ((6672741.4753402 25498093.0795296, 6672769.67361481 25498091.7195881, 6672769.60288247 25498089.9391014, 6672741.4753402 25498090.9617918, 6672741.4753402 25498093.0795296)))"
liikennemerkkipilotti_pysakointipaikat.4544,4544,"8400, 8401, 8411, 8426, 4039, 8387, 8389, 8390, 8391, 8380","677, 855b, Unclassified, 521c, Unclassified, 677, 855b, Unclassified, 521c, 826","Pysäköinti, Maksullinen pysäköinti, Luokittelematon, N/A, Luokittelematon, Pysäköinti, Maksullinen pysäköinti, Luokittelematon, N/A, Vaikutusalue nuolen suuntaan","no_text, 9-21, no_text, no_text, unreadable, no_text, 9-21, no_text, no_text, no_text",17,Pitkittäin,5.4,F,,92.73,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6673621.20342694 25495635.9577092, 6673622.438079 25495626.537625, 6673622.538129 25495624.803144, 6673622.602132 25495623.529505, 6673622.64534685 25495616.0135768, 6673622.778421 25495609.505668, 6673622.77527725 25495609.3802913, 6673621.66822973 25495592.2959688, 6673619.118605 25495575.310407, 6673611.90192938 25495541.2106981, 6673607.82860655 25495544.5422745, 6673612.24951743 25495564.8728328, 6673614.98090822 25495578.1074068, 6673615.82566826 25495583.6265057, 6673616.27620695 25495586.5550071, 6673616.72674563 25495589.1456046, 6673617.03649098 25495592.0177887, 6673617.62782301 25495597.677681, 6673617.96572702 25495603.3094146, 6673618.1628377 25495609.1945762, 6673618.1628377 25495614.6855164, 6673618.10652036 25495617.6140179, 6673617.65598168 25495626.1179356, 6673617.51518834 25495629.0182784, 6673617.23360166 25495631.9186212, 6673616.86753897 25495634.7908054, 6673616.44515895 25495637.7756242, 6673621.20342694 25495635.9577092))"
liikennemerkkipilotti_pysakointipaikat.4307,4307,"18587, 18589, 18590, 18591, 18588","551, 372, 855a, Unclassified, Unclassified","Yksisuuntainen tie, Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, no_text, 9-21, no_text, no_text",10,Pitkittäin,5.4,B,,57.55,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671520.73651645 25496735.4748494, 6671523.190189 25496734.879209, 6671526.597043 25496733.984305, 6671527.53648077 25496733.6335672, 6671527.97510785 25496733.3893715, 6671528.76811339 25496732.7756105, 6671529.11449738 25496732.4122328, 6671529.42269629 25496732.0159517, 6671529.912527 25496731.140951, 6671530.37681377 25496730.0724065, 6671549.099575 25496686.982437, 6671547.29626609 25496686.0387857, 6671528.08441647 25496730.0141981, 6671527.70090996 25496730.5620646, 6671527.20783017 25496731.109931, 6671526.65996374 25496731.5482242, 6671525.23551101 25496732.3517616, 6671520.48733525 25496733.319659, 6671520.73651645 25496735.4748494))"
liikennemerkkipilotti_pysakointipaikat.2817,2817,"12418, 12421","372, 856a","Pysäköinti kielletty, Pysäköintikiekon käyttövelvollisuus","no_text, 30 min 7-17",,,,,,21.05,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671641.20977766 25493251.618392, 6671636.95718107 25493272.304479, 6671639.04868528 25493272.7450475, 6671643.38986085 25493251.8848532, 6671641.20977766 25493251.618392))"
liikennemerkkipilotti_pysakointipaikat.4059,4059,"13540, 13541, 13559, 13542","372, 855a, Unclassified, Unclassified","Pysäköinti kielletty, Maksullinen pysäköinti, Luokittelematon, Luokittelematon","no_text, 9-21, no_text, no_text",6,Pitkittäin,5.4,C,,36.91,,,,Helsinki/MAKA,2018-11-20,"POLYGON ((6671960.97514744 25497540.7673947, 6671925.417868 25497530.495026, 6671924.79450138 25497532.5837379, 6671960.33277073 25497542.5914314, 6671960.97514744 25497540.7673947))"
liikennemerkkipilotti_pysakointipaikat.3340,3340,"1245, 1247, 1249","677, 856b, 845","Pysäköinti, Pysäköintikiekon käyttövelvollisuus, N/A","no_text, 2h 8-20, no_text",6,Pitkittäin,5.4,,,35.91,,,,Helsinki/MAKA,2018-11-20,"MULTIPOLYGON (((6671705.20482901 25495645.2373414, 6671705.15555134 25495643.343671, 6671687.35575335 25495644.9275961, 6671687.47190786 25495647.0148573, 6671705.20482901 25495645.2373414)), ((6671684.28997838 25495647.1838093, 6671684.12102637 25495645.1915836, 6671666.16459578 25495646.9409408, 6671666.4241835 25495648.7879734, 6671684.28997838 25495647.1838093)))"
